Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,,
"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($),Total Monthly Allowance ($)
"Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) À ($)",Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($),Total mensuel pour l'Allocation  ($)
8640,8687.99,594.59,1307.93,1379.26,767.93
8688,8735.99,594.59,1307.93,1379.26,764.93
8736,8783.99,594.59,1307.93,1379.26,761.93
8784,8831.99,594.59,1307.93,1379.26,758.93
8832,8879.99,594.59,1307.93,1379.26,755.93
8880,8927.99,594.59,1307.93,1379.26,752.93
8928,8975.99,594.59,1307.93,1379.26,749.93
8976,9023.99,594.59,1307.93,1379.26,746.93
9024,9071.99,594.59,1307.93,1379.26,743.93
9072,9119.99,594.59,1307.93,1379.26,740.93
9120,9167.99,594.59,1307.93,1379.26,737.93
9168,9215.99,594.59,1307.93,1379.26,734.93
9216,9263.99,594.59,1307.93,1379.26,731.93
9264,9311.99,594.59,1307.93,1379.26,728.93
9312,9359.99,594.59,1307.93,1379.26,725.93
9360,9407.99,594.59,1307.93,1379.26,722.93
9408,9455.99,594.59,1307.93,1379.26,719.93
9456,9503.99,594.59,1307.93,1379.26,716.93
9504,9551.99,594.59,1307.93,1379.26,713.93
9552,9599.99,594.59,1307.93,1379.26,710.93
9600,9647.99,594.59,1307.93,1379.26,707.93
9648,9695.99,594.59,1307.93,1379.26,704.93
9696,9743.99,594.59,1307.93,1379.26,701.93
9744,9791.99,594.59,1307.93,1379.26,698.93
9792,9839.99,594.59,1307.93,1379.26,695.93
9840,9887.99,594.59,1307.93,1379.26,692.93
9888,9935.99,594.59,1307.93,1379.26,689.93
9936,9983.99,594.59,1307.93,1379.26,686.93
9984,10031.99,594.59,1307.93,1379.26,683.93
10032,10079.99,594.59,1307.93,1379.26,680.93
10080,10127.99,594.59,1307.93,1379.26,677.93
10128,10175.99,594.59,1307.93,1379.26,674.93
10176,10223.99,594.59,1307.93,1379.26,671.93
10224,10271.99,594.59,1307.93,1379.26,668.93
10272,10319.99,594.59,1307.93,1379.26,665.93
10320,10367.99,594.59,1307.93,1379.26,662.93
10368,10415.99,594.59,1307.93,1379.26,659.93
10416,10463.99,594.59,1307.93,1379.26,656.93
10464,10511.99,594.59,1307.93,1379.26,653.93
10512,10559.99,594.59,1307.93,1379.26,650.93
10560,10607.99,594.59,1307.93,1379.26,647.93
10608,10655.99,594.59,1307.93,1379.26,644.93
10656,10703.99,594.59,1307.93,1379.26,641.93
10704,10751.99,594.59,1307.93,1379.26,638.93
10752,10799.99,594.59,1307.93,1379.26,635.93
10800,10847.99,594.59,1307.93,1379.26,632.93
10848,10895.99,594.59,1307.93,1379.26,629.93
10896,10943.99,594.59,1307.93,1379.26,626.93
10944,10991.99,594.59,1307.93,1379.26,623.93
10992,11039.99,594.59,1307.93,1379.26,620.93
11040,11087.99,594.59,1307.93,1379.26,617.93
11088,11135.99,594.59,1307.93,1379.26,614.93
11136,11183.99,594.59,1307.93,1379.26,611.93
11184,11231.99,594.59,1307.93,1379.26,608.93
11232,11279.99,594.59,1307.93,1379.26,605.93
11280,11327.99,594.59,1307.93,1379.26,602.93
11328,11375.99,594.59,1307.93,1379.26,599.93
11376,11423.99,594.59,1307.93,1379.26,596.93
11424,11471.99,594.59,1307.93,1379.26,594.59
11472,11519.99,593.59,1306.93,1378.26,593.59
11520,11567.99,592.59,1305.93,1377.26,592.59
11568,11615.99,591.59,1304.93,1376.26,591.59
11616,11663.99,590.59,1303.93,1375.26,590.59
11664,11711.99,589.59,1302.93,1374.26,589.59
11712,11759.99,588.59,1301.93,1373.26,588.59
11760,11807.99,587.59,1300.93,1372.26,587.59
11808,11855.99,586.59,1299.93,1371.26,586.59
11856,11903.99,585.59,1298.93,1370.26,585.59
11904,11951.99,584.59,1297.93,1369.26,584.59
11952,11999.99,583.59,1296.93,1368.26,583.59
12000,12047.99,582.59,1295.93,1367.26,582.59
12048,12095.99,581.59,1294.93,1366.26,581.59
12096,12143.99,580.59,1293.93,1365.26,580.59
12144,12191.99,579.59,1292.93,1364.26,579.59
12192,12239.99,578.59,1291.93,1363.26,578.59
12240,12287.99,577.59,1290.93,1362.26,577.59
12288,12335.99,576.59,1289.93,1361.26,576.59
12336,12383.99,575.59,1288.93,1360.26,575.59
12384,12431.99,574.59,1287.93,1359.26,574.59
12432,12479.99,573.59,1286.93,1358.26,573.59
12480,12527.99,572.59,1285.93,1357.26,572.59
12528,12575.99,571.59,1284.93,1356.26,571.59
12576,12623.99,570.59,1283.93,1355.26,570.59
12624,12671.99,569.59,1282.93,1354.26,569.59
12672,12719.99,568.59,1281.93,1353.26,568.59
12720,12767.99,567.59,1280.93,1352.26,567.59
12768,12815.99,566.59,1279.93,1351.26,566.59
12816,12863.99,565.59,1278.93,1350.26,565.59
12864,12911.99,564.59,1277.93,1349.26,564.59
12912,12959.99,563.59,1276.93,1348.26,563.59
12960,13007.99,562.59,1275.93,1347.26,562.59
13008,13055.99,561.59,1274.93,1346.26,561.59
13056,13103.99,560.59,1273.93,1345.26,560.59
13104,13151.99,559.59,1272.93,1344.26,559.59
13152,13199.99,558.59,1271.93,1343.26,558.59
13200,13247.99,557.59,1270.93,1342.26,557.59
13248,13295.99,556.59,1269.93,1341.26,556.59
13296,13343.99,555.59,1268.93,1340.26,555.59
13344,13391.99,554.59,1267.93,1339.26,554.59
13392,13439.99,553.59,1266.93,1338.26,553.59
13440,13487.99,552.59,1265.93,1337.26,552.59
13488,13535.99,551.59,1264.93,1336.26,551.59
13536,13583.99,550.59,1263.93,1335.26,550.59
13584,13631.99,549.59,1262.93,1334.26,549.59
13632,13679.99,548.59,1261.93,1333.26,548.59
13680,13727.99,547.59,1260.93,1332.26,547.59
13728,13775.99,546.59,1259.93,1331.26,546.59
13776,13823.99,545.59,1258.93,1330.26,545.59
13824,13871.99,544.59,1257.93,1329.26,544.59
13872,13919.99,543.59,1256.93,1328.26,543.59
13920,13967.99,542.59,1255.93,1327.26,542.59
13968,14015.99,541.59,1254.93,1326.26,541.59
14016,14063.99,540.59,1253.93,1325.26,540.59
14064,14111.99,539.59,1252.93,1324.26,539.59
14112,14159.99,538.59,1251.93,1323.26,538.59
14160,14207.99,537.59,1250.93,1322.26,537.59
14208,14255.99,536.59,1249.93,1321.26,536.59
14256,14303.99,535.59,1248.93,1320.26,535.59
14304,14351.99,534.59,1247.93,1319.26,534.59
14352,14399.99,533.59,1246.93,1318.26,533.59
14400,14447.99,532.59,1245.93,1317.26,532.59
14448,14495.99,531.59,1244.93,1316.26,531.59
14496,14543.99,530.59,1243.93,1315.26,530.59
14544,14591.99,529.59,1242.93,1314.26,529.59
14592,14639.99,528.59,1241.93,1313.26,528.59
14640,14687.99,527.59,1240.93,1312.26,527.59
14688,14735.99,526.59,1239.93,1311.26,526.59
14736,14783.99,525.59,1238.93,1310.26,525.59
14784,14831.99,524.59,1237.93,1309.26,524.59
14832,14879.99,523.59,1236.93,1308.26,523.59
14880,14927.99,522.59,1235.93,1307.26,522.59
14928,14975.99,521.59,1234.93,1306.26,521.59
14976,15023.99,520.59,1233.93,1305.26,520.59
15024,15071.99,519.59,1232.93,1304.26,519.59
15072,15119.99,518.59,1231.93,1303.26,518.59
15120,15167.99,517.59,1230.93,1302.26,517.59
15168,15215.99,516.59,1229.93,1301.26,516.59
15216,15263.99,515.59,1228.93,1300.26,515.59
15264,15311.99,514.59,1227.93,1299.26,514.59
15312,15359.99,513.59,1226.93,1298.26,513.59
15360,15407.99,512.59,1225.93,1297.26,512.59
15408,15455.99,511.59,1224.93,1296.26,511.59
15456,15503.99,510.59,1223.93,1295.26,510.59
15504,15551.99,509.59,1222.93,1294.26,509.59
15552,15599.99,508.59,1221.93,1293.26,508.59
15600,15647.99,507.59,1220.93,1292.26,507.59
15648,15695.99,506.59,1219.93,1291.26,506.59
15696,15743.99,505.59,1218.93,1290.26,505.59
15744,15791.99,504.59,1217.93,1289.26,504.59
15792,15839.99,503.59,1216.93,1288.26,503.59
15840,15887.99,502.59,1215.93,1287.26,502.59
15888,15935.99,501.59,1214.93,1286.26,501.59
15936,15983.99,500.59,1213.93,1285.26,500.59
15984,16031.99,499.59,1212.93,1284.26,499.59
16032,16079.99,498.59,1211.93,1283.26,498.59
16080,16127.99,497.59,1210.93,1282.26,497.59
16128,16175.99,496.59,1209.93,1281.26,496.59
16176,16223.99,495.59,1208.93,1280.26,495.59
16224,16271.99,494.59,1207.93,1279.26,494.59
16272,16319.99,493.59,1206.93,1278.26,493.59
16320,16367.99,492.59,1205.93,1277.26,492.59
16368,16415.99,491.59,1204.93,1276.26,491.59
16416,16463.99,490.59,1203.93,1275.26,490.59
16464,16511.99,489.59,1202.93,1274.26,489.59
16512,16559.99,488.59,1201.93,1273.26,488.59
16560,16607.99,487.59,1200.93,1272.26,487.59
16608,16655.99,486.59,1199.93,1271.26,486.59
16656,16703.99,485.59,1198.93,1270.26,485.59
16704,16751.99,484.59,1197.93,1269.26,484.59
16752,16799.99,483.59,1196.93,1268.26,483.59
16800,16847.99,482.59,1195.93,1267.26,482.59
16848,16895.99,481.59,1194.93,1266.26,481.59
16896,16943.99,480.59,1193.93,1265.26,480.59
16944,16991.99,479.59,1192.93,1264.26,479.59
16992,17039.99,478.59,1191.93,1263.26,478.59
17040,17087.99,477.59,1190.93,1262.26,477.59
17088,17135.99,476.59,1189.93,1261.26,476.59
17136,17183.99,475.59,1188.93,1260.26,475.59
17184,17231.99,474.59,1187.93,1259.26,474.59
17232,17279.99,473.59,1186.93,1258.26,473.59
17280,17327.99,472.59,1185.93,1257.26,472.59
17328,17375.99,471.59,1184.93,1256.26,471.59
17376,17423.99,470.59,1183.93,1255.26,470.59
17424,17471.99,469.59,1182.93,1254.26,469.59
17472,17519.99,468.59,1181.93,1253.26,468.59
