Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
14880,14927.99,284.59,997.93,1069.26
14928,14975.99,283.59,996.93,1068.26
14976,15023.99,282.59,995.93,1067.26
15024,15071.99,281.59,994.93,1066.26
15072,15119.99,280.59,993.93,1065.26
15120,15167.99,279.59,992.93,1064.26
15168,15215.99,278.59,991.93,1063.26
15216,15263.99,277.59,990.93,1062.26
15264,15311.99,276.59,989.93,1061.26
15312,15359.99,275.59,988.93,1060.26
15360,15407.99,274.59,987.93,1059.26
15408,15455.99,273.59,986.93,1058.26
15456,15503.99,272.59,985.93,1057.26
15504,15551.99,271.59,984.93,1056.26
15552,15599.99,270.59,983.93,1055.26
15600,15647.99,269.59,982.93,1054.26
15648,15695.99,268.59,981.93,1053.26
15696,15743.99,267.59,980.93,1052.26
15744,15791.99,266.59,979.93,1051.26
15792,15839.99,265.59,978.93,1050.26
15840,15887.99,264.59,977.93,1049.26
15888,15935.99,263.59,976.93,1048.26
15936,15983.99,262.59,975.93,1047.26
15984,16031.99,261.59,974.93,1046.26
16032,16079.99,260.59,973.93,1045.26
16080,16127.99,259.59,972.93,1044.26
16128,16175.99,258.59,971.93,1043.26
16176,16223.99,257.59,970.93,1042.26
16224,16271.99,256.59,969.93,1041.26
16272,16319.99,255.59,968.93,1040.26
16320,16367.99,254.59,967.93,1039.26
16368,16415.99,253.59,966.93,1038.26
16416,16463.99,252.59,965.93,1037.26
16464,16511.99,251.59,964.93,1036.26
16512,16559.99,250.59,963.93,1035.26
16560,16607.99,249.59,962.93,1034.26
16608,16655.99,248.59,961.93,1033.26
16656,16703.99,247.59,960.93,1032.26
16704,16751.99,246.59,959.93,1031.26
16752,16799.99,245.59,958.93,1030.26
16800,16847.99,244.59,957.93,1029.26
16848,16895.99,243.59,956.93,1028.26
16896,16943.99,242.59,955.93,1027.26
16944,16991.99,241.59,954.93,1026.26
16992,17039.99,240.59,953.93,1025.26
17040,17087.99,239.59,952.93,1024.26
17088,17135.99,238.59,951.93,1023.26
17136,17183.99,237.59,950.93,1022.26
17184,17231.99,236.59,949.93,1021.26
17232,17279.99,235.59,948.93,1020.26
17280,17327.99,234.59,947.93,1019.26
17328,17375.99,233.59,946.93,1018.26
17376,17423.99,232.59,945.93,1017.26
17424,17471.99,231.59,944.93,1016.26
17472,17519.99,230.59,943.93,1015.26
17520,17567.99,229.59,942.93,1014.26
17568,17615.99,228.59,941.93,1013.26
17616,17663.99,227.59,940.93,1012.26
17664,17711.99,226.59,939.93,1011.26
17712,17759.99,225.59,938.93,1010.26
17760,17807.99,224.59,937.93,1009.26
17808,17855.99,223.59,936.93,1008.26
17856,17903.99,222.59,935.93,1007.26
17904,17951.99,221.59,934.93,1006.26
17952,17999.99,220.59,933.93,1005.26
18000,18047.99,219.59,932.93,1004.26
18048,18095.99,218.59,931.93,1003.26
18096,18143.99,217.59,930.93,1002.26
18144,18191.99,216.59,929.93,1001.26
18192,18239.99,215.59,928.93,1000.26
18240,18287.99,214.59,927.93,999.26
18288,18335.99,213.59,926.93,998.26
18336,18383.99,212.59,925.93,997.26
18384,18431.99,211.59,924.93,996.26
18432,18479.99,210.59,923.93,995.26
18480,18527.99,209.59,922.93,994.26
18528,18575.99,208.59,921.93,993.26
18576,18623.99,207.59,920.93,992.26
18624,18671.99,206.59,919.93,991.26
18672,18719.99,205.59,918.93,990.26
18720,18767.99,204.59,917.93,989.26
18768,18815.99,203.59,916.93,988.26
18816,18863.99,202.59,915.93,987.26
18864,18911.99,201.59,914.93,986.26
18912,18959.99,200.59,913.93,985.26
18960,19007.99,199.59,912.93,984.26
19008,19055.99,198.59,911.93,983.26
19056,19103.99,197.59,910.93,982.26
19104,19151.99,196.59,909.93,981.26
19152,19199.99,195.59,908.93,980.26
19200,19247.99,194.59,907.93,979.26
19248,19295.99,193.59,906.93,978.26
19296,19343.99,192.59,905.93,977.26
19344,19391.99,191.59,904.93,976.26
19392,19439.99,190.59,903.93,975.26
19440,19487.99,189.59,902.93,974.26
19488,19535.99,188.59,901.93,973.26
19536,19583.99,187.59,900.93,972.26
19584,19631.99,186.59,899.93,971.26
19632,19679.99,185.59,898.93,970.26
19680,19727.99,184.59,897.93,969.26
19728,19775.99,183.59,896.93,968.26
19776,19823.99,182.59,895.93,967.26
19824,19871.99,181.59,894.93,966.26
19872,19919.99,180.59,893.93,965.26
19920,19967.99,179.59,892.93,964.26
19968,20015.99,178.59,891.93,963.26
20016,20063.99,177.59,890.93,962.26
20064,20111.99,176.59,889.93,961.26
20112,20159.99,175.59,888.93,960.26
20160,20207.99,174.59,887.93,959.26
20208,20255.99,173.59,886.93,958.26
20256,20303.99,172.59,885.93,957.26
20304,20351.99,171.59,884.93,956.26
20352,20399.99,170.59,883.93,955.26
20400,20447.99,169.59,882.93,954.26
20448,20495.99,168.59,881.93,953.26
20496,20543.99,167.59,880.93,952.26
20544,20591.99,166.59,879.93,951.26
20592,20639.99,165.59,878.93,950.26
20640,20687.99,164.59,877.93,949.26
20688,20735.99,163.59,876.93,948.26
20736,20783.99,162.59,875.93,947.26
20784,20831.99,161.59,874.93,946.26
20832,20879.99,160.59,873.93,945.26
20880,20927.99,159.59,872.93,944.26
20928,20975.99,158.59,871.93,943.26
20976,21023.99,157.59,870.93,942.26
21024,21071.99,156.59,869.93,941.26
21072,21119.99,155.59,868.93,940.26
21120,21167.99,154.59,867.93,939.26
21168,21215.99,153.59,866.93,938.26
21216,21263.99,152.59,865.93,937.26
21264,21311.99,151.59,864.93,936.26
21312,21359.99,150.59,863.93,935.26
21360,21407.99,149.59,862.93,934.26
21408,21455.99,148.59,861.93,933.26
21456,21503.99,147.59,860.93,932.26
21504,21551.99,146.59,859.93,931.26
21552,21599.99,145.59,858.93,930.26
21600,21647.99,144.59,857.93,929.26
21648,21695.99,143.59,856.93,928.26
21696,21743.99,142.59,855.93,927.26
21744,21791.99,141.59,854.93,926.26
21792,21839.99,140.59,853.93,925.26
21840,21887.99,139.59,852.93,924.26
21888,21935.99,138.59,851.93,923.26
21936,21983.99,137.59,850.93,922.26
21984,22031.99,136.59,849.93,921.26
22032,22079.99,135.59,848.93,920.26
22080,22127.99,134.59,847.93,919.26
22128,22175.99,133.59,846.93,918.26
22176,22223.99,132.59,845.93,917.26
22224,22271.99,131.59,844.93,916.26
22272,22319.99,130.59,843.93,915.26
22320,22367.99,129.59,842.93,914.26
22368,22415.99,128.59,841.93,913.26
22416,22463.99,127.59,840.93,912.26
22464,22511.99,126.59,839.93,911.26
22512,22559.99,125.59,838.93,910.26
22560,22607.99,124.59,837.93,909.26
22608,22655.99,123.59,836.93,908.26
22656,22703.99,122.59,835.93,907.26
22704,22751.99,121.59,834.93,906.26
22752,22799.99,120.59,833.93,905.26
22800,22847.99,119.59,832.93,904.26
22848,22895.99,118.59,831.93,903.26
22896,22943.99,117.59,830.93,902.26
22944,22991.99,116.59,829.93,901.26
22992,23039.99,115.59,828.93,900.26
23040,23087.99,114.59,827.93,899.26
23088,23135.99,113.59,826.93,898.26
23136,23183.99,112.59,825.93,897.26
23184,23231.99,111.59,824.93,896.26
23232,23279.99,110.59,823.93,895.26
23280,23327.99,109.59,822.93,894.26
23328,23375.99,108.59,821.93,893.26
23376,23423.99,107.59,820.93,892.26
23424,23471.99,106.59,819.93,891.26
23472,23519.99,105.59,818.93,890.26
23520,23567.99,104.59,817.93,889.26
23568,23615.99,103.59,816.93,888.26
23616,23663.99,102.59,815.93,887.26
23664,23711.99,101.59,814.93,886.26
23712,23759.99,100.59,813.93,885.26
23760,23807.99,99.59,812.93,884.26
23808,23855.99,98.59,811.93,883.26
23856,23903.99,97.59,810.93,882.26
23904,23951.99,96.59,809.93,881.26
23952,23999.99,95.59,808.93,880.26
24000,24047.99,94.59,807.93,879.26
24048,24095.99,93.59,806.93,878.26
24096,24143.99,92.59,805.93,877.26
24144,24191.99,91.59,804.93,876.26
24192,24239.99,90.59,803.93,875.26
24240,24287.99,89.59,802.93,874.26
24288,24335.99,88.59,801.93,873.26
24336,24383.99,87.59,800.93,872.26
24384,24431.99,86.59,799.93,871.26
24432,24479.99,85.59,798.93,870.26
24480,24527.99,84.59,797.93,869.26
24528,24575.99,83.59,796.93,868.26
24576,24623.99,82.59,795.93,867.26
24624,24671.99,81.59,794.93,866.26
24672,24719.99,80.59,793.93,865.26
24720,24767.99,79.59,792.93,864.26
24768,24815.99,78.59,791.93,863.26
24816,24863.99,77.59,790.93,862.26
24864,24911.99,76.59,789.93,861.26
24912,24959.99,75.59,788.93,860.26
24960,25007.99,74.59,787.93,859.26
25008,25055.99,73.59,786.93,858.26
25056,25103.99,72.59,785.93,857.26
25104,25151.99,71.59,784.93,856.26
25152,25199.99,70.59,783.93,855.26
25200,25247.99,69.59,782.93,854.26
25248,25295.99,68.59,781.93,853.26
25296,25343.99,67.59,780.93,852.26
25344,25391.99,66.59,779.93,851.26
25392,25439.99,65.59,778.93,850.26
25440,25487.99,64.59,777.93,849.26
25488,25535.99,63.59,776.93,848.26
25536,25583.99,62.59,775.93,847.26
25584,25631.99,61.59,774.93,846.26
25632,25679.99,60.59,773.93,845.26
25680,25727.99,59.59,772.93,844.26
25728,25775.99,58.59,771.93,843.26
25776,25823.99,57.59,770.93,842.26
25824,25871.99,56.59,769.93,841.26
25872,25919.99,55.59,768.93,840.26
25920,25967.99,54.59,767.93,839.26
25968,26015.99,53.59,766.93,838.26
26016,26063.99,52.59,765.93,837.26
26064,26111.99,51.59,764.93,836.26
26112,26159.99,50.59,763.93,835.26
26160,26207.99,49.59,762.93,834.26
