Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
13392,13407.99,868.47,1581.81,1653.14
13408,13439.99,867.47,1580.81,1652.14
13440,13487.99,866.47,1579.81,1651.14
13488,13503.99,865.47,1578.81,1650.14
13504,13535.99,864.47,1577.81,1649.14
13536,13583.99,863.47,1576.81,1648.14
13584,13599.99,862.47,1575.81,1647.14
13600,13631.99,861.47,1574.81,1646.14
13632,13679.99,860.47,1573.81,1645.14
13680,13695.99,859.47,1572.81,1644.14
13696,13727.99,858.47,1571.81,1643.14
13728,13775.99,857.47,1570.81,1642.14
13776,13791.99,856.47,1569.81,1641.14
13792,13823.99,855.47,1568.81,1640.14
13824,13871.99,854.47,1567.81,1639.14
13872,13887.99,853.47,1566.81,1638.14
13888,13919.99,852.47,1565.81,1637.14
13920,13967.99,851.47,1564.81,1636.14
13968,13983.99,850.47,1563.81,1635.14
13984,14015.99,849.47,1562.81,1634.14
14016,14063.99,848.47,1561.81,1633.14
14064,14079.99,847.47,1560.81,1632.14
14080,14111.99,846.47,1559.81,1631.14
14112,14159.99,845.47,1558.81,1630.14
14160,14175.99,844.47,1557.81,1629.14
14176,14207.99,843.47,1556.81,1628.14
14208,14255.99,842.47,1555.81,1627.14
14256,14271.99,841.47,1554.81,1626.14
14272,14303.99,840.47,1553.81,1625.14
14304,14351.99,839.47,1552.81,1624.14
14352,14367.99,838.47,1551.81,1623.14
14368,14399.99,837.47,1550.81,1622.14
14400,14447.99,836.47,1549.81,1621.14
14448,14463.99,835.47,1548.81,1620.14
14464,14495.99,834.47,1547.81,1619.14
14496,14543.99,833.47,1546.81,1618.14
14544,14559.99,832.47,1545.81,1617.14
14560,14591.99,831.47,1544.81,1616.14
14592,14639.99,830.47,1543.81,1615.14
14640,14655.99,829.47,1542.81,1614.14
14656,14687.99,828.47,1541.81,1613.14
14688,14735.99,827.47,1540.81,1612.14
14736,14751.99,826.47,1539.81,1611.14
14752,14783.99,825.47,1538.81,1610.14
14784,14831.99,824.47,1537.81,1609.14
14832,14847.99,823.47,1536.81,1608.14
14848,14879.99,822.47,1535.81,1607.14
14880,14927.99,821.47,1534.81,1606.14
14928,14943.99,820.47,1533.81,1605.14
14944,14975.99,819.47,1532.81,1604.14
14976,15023.99,818.47,1531.81,1603.14
15024,15039.99,817.47,1530.81,1602.14
15040,15071.99,816.47,1529.81,1601.14
15072,15119.99,815.47,1528.81,1600.14
15120,15135.99,814.47,1527.81,1599.14
15136,15167.99,813.47,1526.81,1598.14
15168,15215.99,812.47,1525.81,1597.14
15216,15231.99,811.47,1524.81,1596.14
15232,15263.99,810.47,1523.81,1595.14
15264,15311.99,809.47,1522.81,1594.14
15312,15327.99,808.47,1521.81,1593.14
15328,15359.99,807.47,1520.81,1592.14
15360,15407.99,806.47,1519.81,1591.14
15408,15423.99,805.47,1518.81,1590.14
15424,15455.99,804.47,1517.81,1589.14
15456,15503.99,803.47,1516.81,1588.14
15504,15519.99,802.47,1515.81,1587.14
15520,15551.99,801.47,1514.81,1586.14
15552,15599.99,800.47,1513.81,1585.14
15600,15615.99,799.47,1512.81,1584.14
15616,15647.99,798.47,1511.81,1583.14
15648,15695.99,797.47,1510.81,1582.14
15696,15711.99,796.47,1509.81,1581.14
15712,15743.99,795.47,1508.81,1580.14
15744,15791.99,794.47,1507.81,1579.14
15792,15807.99,793.47,1506.81,1578.14
15808,15839.99,792.47,1505.81,1577.14
15840,15887.99,791.47,1504.81,1576.14
15888,15903.99,790.47,1503.81,1575.14
15904,15935.99,789.47,1502.81,1574.14
15936,15983.99,788.47,1501.81,1573.14
15984,15999.99,787.47,1500.81,1572.14
16000,16031.99,786.47,1499.81,1571.14
16032,16079.99,785.47,1498.81,1570.14
16080,16095.99,784.47,1497.81,1569.14
16096,16127.99,783.47,1496.81,1568.14
16128,16175.99,782.47,1495.81,1567.14
16176,16191.99,781.47,1494.81,1566.14
16192,16223.99,780.47,1493.81,1565.14
16224,16271.99,779.47,1492.81,1564.14
16272,16287.99,778.47,1491.81,1563.14
16288,16319.99,777.47,1490.81,1562.14
16320,16367.99,776.47,1489.81,1561.14
16368,16383.99,775.47,1488.81,1560.14
16384,16415.99,774.47,1487.81,1559.14
16416,16463.99,773.47,1486.81,1558.14
16464,16479.99,772.47,1485.81,1557.14
16480,16511.99,771.47,1484.81,1556.14
16512,16559.99,770.47,1483.81,1555.14
16560,16575.99,769.47,1482.81,1554.14
